파리 7개국어 베스트 랜드마크 합집합 (raw 16파일, 좌표 기준 고유 44곳)

언어수 거리    이름                                    주소
  10     0.4km  노트르담 대성당                               6 Parvis Notre-Dame - Pl. Jean-Paul II, 7500
  10     0.4km  퐁피두 센터                                 Place Georges-Pompidou, 75004 Paris
  10     0.6km  생트 샤펠                                  10 Boulevard du Palais, 75001 Paris
  10     1.2km  팡테옹                                    Place du Panthéon, 75005 Paris
  10     1.4km  룩셈부르크 공원                               75006 Paris
  10     1.6km  루브르 박물관                                Rue de Rivoli, 75001 Paris
  10     2.2km  오페라 가르니에                               Place de l'Opéra, 75009 Paris
  10     2.9km  앵발리드                                   129 Rue de Grenelle, 75007 Paris
  10     3.4km  사크레쾨르 대성당                              35 Rue du Chevalier de la Barre, 75018 Paris
  10     4.9km  에투알 개선문                                Place Charles de Gaulle, 75008 Paris
  10    17.1km  베르사유 궁전                                Place d'Armes, 78000 Versailles
   9     2.9km  파리 카타콤                                 1 Avenue du Colonel Henri Rol-Tanguy, 75014 
   9     3.4km  몽마르트르                                  Place du Tertre, 75018 Paris
   8     1.9km  오르세 미술관                                1 Rue de la Légion d'Honneur, 75007 Paris
   8     4.1km  에펠탑                                    Champ de Mars, 5 Avenue Anatole France, 7500
   7     0.8km  퐁 뇌프                                   Pont Neuf, 75001 Paris
   7     3.5km  샹젤리제 거리                                Avenue des Champs-Élysées, 75008 Paris
   7    32.0km  디즈니랜드 파리                               Boulevard de Parc, 77700 Coupvray
   6     1.2km  오르세 미술관                                1 Rue de la Légion d'Honneur, 75007 Paris
   6     2.1km  에펠탑                                    Champ de Mars, 5 Avenue Anatole France, 7500
   6     2.4km  갤러리 라파예트                               40 Boulevard Haussmann, 75009 Paris
   6     2.4km  콩코르드 광장                                75008 Paris
   6     3.1km  페르 라셰즈 묘지                              16 Rue du Repos, 75020 Paris
   5     2.4km  갤러리 라파예트                               40 Boulevard Haussmann, 75009 Paris
   4     0.6km  콩시에르쥬리                                 2 Bd du Palais, 75001 Paris
   3     0.5km  마레 지구                                  Le Marais, 75004 Paris
   3     3.1km  무를랭 루주                                 82 Boulevard de Clichy, 75018 Paris
   2     1.0km  보쥬 광장                                  75004 Paris
   2     1.1km  보쥬 광장                                  75004 Paris
   2     2.5km  바토 무슈                                  Port de la Conférence, 75008 Paris
   2     3.9km  케 브랑리 박물관                              37 Quai Jacques Chirac, 75007 Paris
   1     0.8km  퐁 뇌프                                   Pont Neuf, 75001 Paris
   1     0.8km  퐁 뇌프                                   Pont Neuf, 75001 Paris
   1     0.9km  마레 지구                                  75004 Paris
   1     1.1km  튈르리 정원                                 Pl. de la Concorde, 75001 Paris
   1     1.8km  튈르리 정원                                 Pl. de la Concorde, 75001 Paris
   1     2.3km  오랑주리 미술관                               Jardin des Tuileries, 75001 Paris
   1     2.3km  생마르탱 운하                                Quai de Valmy, 75010 Paris
   1     2.3km  갤러리 라파예트                               40 Boulevard Haussmann, 75009 Paris
   1     2.6km  로댕 미술관                                 77 Rue de Varenne, 75007 Paris
   1     2.6km  몽파르나스 타워                               33 Avenue du Maine, 75015 Paris
   1     3.5km  몽마르뜨                                   Place du Tertre, 75018 Paris
   1     6.5km  루이비통 재단 미술관                            8 Avenue du Mahatma Gandhi, 75116 Paris
   1    32.0km  디즈니랜드 파리                               77777 Marne-la-Vallée

※ 지베르니(Claude Monet House, 64.5km, 84 Rue Claude Monet 27620 Giverny) = 0건
※ 최원거리 = 디즈니랜드 32.0km
